,title,text
1976,circo,circo documentary  foreign tino  ponce  operates  circo  mexico  journeys  across  mexican  countryside  search  paying  customers  wanting  please  father  continue  family  business  recruited  young  children  performers  laboring  night  day  maintain  circus  faltering  financial  fortunes  growing  resentment  brewing  within  wife  hardscrabble  existence  suggests  troubles  horizon  documenting  brutal  regimen  life  also  peels  back  curtain  inner  dynamics  revealing  generational  divides  money  worries  threaten  tear  apart  marriage  buttressed  indie  rock  band  calexico  evocative  score  schock  film  observes  drama  sympathetic  clear  eyed  view  vanishing  way  refuses  sentimental  handling  material  story  twists  become  poignant
1977,the prodigal,the prodigal drama wealthy  young  hebrew  traveling  damascus  renounces  faith  seduced  alluring  pagan  priestess  cheated  fortune  high  priest  well
1978,the return of ringo,the return of ringo drama  action  romance  western billed  montgomery  wood  giuliano  gemma  plays  civil  war  soldier  returns  family  land  find  decimated  property  taken  mexican  bandits  fiancee  marry  gangster  behind  bent  revenge  goes  undercover  disguised  discovers  daughter
1979,adieu philippine,adieu philippine drama michel  young  technician  fledgling  tv  industry  due  military  service  two  months  time  algerian  war  juliette  liliane  inseparable  best  friends  aspiring  actresses  hang  around  outside  studio  invites  watch  flirts  dates  separately  together  goes  holiday  corsica  drafted  girls  follow
1980,those awful hats,those awful hats comedy pair  young  ladies  cause  trouble  cinema  lavish  hats
1981,goal!: the dream begins,goal!: the dream begins drama like  millions  kids  around  world  santiago  harbors  dream  professional  footballer  ...  however  living  barrios  section  los  angeles  thinks  --  one  day  extraordinary  turn  events  trying  premiership  club  newcastle  united
1982,dead men don't wear plaid,"dead men don't wear plaid comedy  mystery juliet  forrest  convinced  reported  death  father  mountain  car  crash  accident  prominent  cheese  scientist  working  secret  recipe  prove  murder  enlists  services  private  eye  rigby  reardon  finds  slip  paper  containing  list  people  friends  enemies  carlotta  ."""
1983,the last man on earth,the last man on earth horror  science fiction robert  morgan  last  man  earth  far  tell  plague  killed  everyone  else  planet  several  years  ago  immune  guess  vampires  formerly  human  attack  home  every  night
1984,invasion u.s.a.,invasion u.s.a. action  thriller one  man  army  comes  rescue  united  states  spy  attempts  invasion
1985,mrs. ashboro's cat,mrs. ashboro's cat thriller  family wes  merritt  daughter  natalie  14  get  bargained  buy  old  house  formerly  inhabited  nice  mrs  ashboro  pet  cat  margaret  strange  things  start  happening  fingers  point  presence  died  day  come  back  haunt
1986,werckmeister harmonies,werckmeister harmonies drama story  takes  place  small  town  hungarian  plain  provincial  surrounded  nothing  else  frost  bitterly  cold  weather  —  without  snow  even  bewildered  hundreds  people  standing  around  circus  tent  put  main  square  see  outcome  wait  chief  attraction  stuffed  carcass  real  whale  coming  everywhere  neighboring  settlings  quite  far  away  parts  country  following  clumsy  monster  dumb  faceless  rag  wearing  crowd  strange  state  affairs  appearance  foreigners  extreme  disturbs  order  ambitious  personages  feel  take  advantage  situation  tension  growing  unbearable  brought  explosion  figure  prince  pretending  facelessness  mere  enough  break  loose  destructive  emotions  ...
1987,something like happiness,something like happiness drama course  year  small  town  scarred  beaten  industrialization  tonda  monika  friends  since  childhood  come  experience  life  might  like  could  one  another  –  seemingly
1988,crazy kind of love,crazy kind of love comedy  drama  romance broken  family  finds  relationships  one  another  changed  new  arrival  household
1989,memed my hawk,memed my hawk drama 1920s  turkey  young  peasant  smitten  beautiful  girl  promised  marriage  fat  dullard  cousin  province  powerful  corrupt  governor  assassination  attempt  made  official  man  flees  village  joins  group  outlaws  fighting  wealthy  landowners  control  lives  locals  make  life  miserable  successes  prompt  call  turkish  army  capture  kill
1990,the man who left his will on film,the man who left his will on film drama metaphysical  mystery  involving  university  student  camera  getting  stolen  thief  committing  suicide  looking  back  upon  event  situation  comes  questioned  happened
1991,blow dry,blow dry comedy  drama annual  british  hairdressing  championship  comes  keighley  town  phil  son  brian  run  barbershop  ex  wife  shelly  lover  sandra  beauty  salon
1992,monk dawson,monk dawson drama monk  dawson  film  released  1998  directed  produced  tom  waller  starring  john  michie  benedict  taylor  rhona  mitra  paula  hamilton  based  novel  name  written  piers  paul  read  eddie  led  sheltered  existence  benedictine  monastery  expelled  order  learn  deal  harsh  realities  everyday  life  including  falling  love  betrayal  friend
1993,passchendaele,passchendaele drama  romance  war  history sergeant  michael  dunne  fights  10th  battalion  aka  fighting  tenth  1st  canadian  division  participated  major  battles  war  set  record  highest  number  individual  bravery  awards  single  battle
1994,paint your wagon,paint your wagon drama  action  comedy  western  music michigan  farmer  prospector  form  partnership  california  gold  country  adventures  include  buying  sharing  wife  hijacking  stage  kidnapping  six  prostitutes  turning  mining  camp  boom  town  along  way  plenty  drinking  gambling  singing  even  find  time  creative
1995,the world according to garp,the world according to garp comedy based  john  irving  novel  film  chronicles  life  garp  mother  jenny  whilst  sees  serious  writer  writes  feminist  manifesto  opportune  time  finds  magnet  manner  distressed  women
1996,the shopworn angel,the shopworn angel drama  romance  war wwi  bill  pettigrew  naive  young  texan  soldier  sent  new  york  basic  training  meets  worldly  wise  actress  daisy  heath  car  nearly  runs
1997,"patrik, age 1.5","patrik, age 1.5 drama  comedy göran  sven  cleared  adoption  possibility  adopt  swedish  orphan  patrik  1  5  arrives  turns  someone  else  little  boy  expecting  comma  misplaced  comes  15  year  old  homophobic  criminal  past"
1998,the spanish apartment,the spanish apartment drama  comedy  romance strait  laced  french  student  moves  apartment  barcelona  cast  six  characters  europe  together  speak  international  language  love  friendship
1999,the shunning,the shunning drama beautiful  katie  lapp  always  felt  something  missing  simple  amish  existence  --  mysterious  englisher  comes  lancaster  county  looking  baby  girl  gave  adoption  19  years  ago
2000,the hypnotist,the hypnotist crime  drama  thriller young  woman  parents  murdered  killer  determined  wipe  entire  family  detective  inspector  joona  linna  works  psychiatrist  hypnotize  son  narrowly  escaped  death  order  find  one  surviving  daughter  murderer
2001,the young stranger,the young stranger drama director  john  frankenheimer  1957  drama  explores  lack  communication  wealthy  film  producer  troubled  teenage  son  boy  involved  altercation  movie  theatre  cast  includes  james  macarthur  daly  kim  hunter  whit  bissell  gregory
2002,the cameraman,the cameraman comedy buster  tintype  portrait  photographer  first  sight  develops  serious  crush  sally  beautiful  young  woman  works  secretary  mgm  newsreel  department  seeks  also  work  cameraman  hopes  impressing  however  skills  movie  camera  lacking  determined  succeed  winning  girl
2003,station for two,station for two drama  romance  comedy platon  ryabinin  pianist  traveling  train  distant  town  griboedov  visit  father  gets  lunch  twenty  minute  stop  zastupinsk  railway  station  meets  vera  waitress  refuses  pay  disgusting  food  even  touch  misses  due  police  investigation  incident  passport  accidentally  taken  away  andrei  fiancé  money  stolen  waits  next  learns  get  sentenced  sent  prison  far  east  car  accident  guilty  days  spend  develop  feelings  ...
2004,shirin,shirin drama hundred  fourteen  famous  iranian  theater  cinema  actresses  french  star  mute  spectators  theatrical  representation  khosrow  shirin  persian  poem  twelfth  century  put  stage  kiarostami  development  text  --  long  favorite  persia  middle  east  remains  invisible  viewer  film  whole  story  told  faces  women  watching  show
2005,tere naam,tere naam romance  thriller lower  caste  radhey  mohan  good  slacker  always  picking  fights  getting  friends  trouble  one  day  sees  upper  nirjala  instantly  attracted  comes  know  also  problems  arise  marriage  proposed  family  nothing  groom  arrange  rameshwar  young  man  arrested  imprisoned  prison  mentally  unstable  chained  wall  must  undergo  preparations  get  married
2006,modus operandi,modus operandi action  thriller  crime two  briefcases  mysterious  contents  stolen  top  presidential  candidate  squire  parks  setting  deadly  series  double  crosses  betrayals  desperate  warring  factions  subterranean  organizations  stop  nothing  gain  possession  sensitive  material  covert  branch  cia  calls  notorious  black  ops  agent  stanley  cashay  barely  existing  semi  comatose  twilight  since  murder  wife  offered  identity  ’  killer  exchange  locating  returning  cases
2007,the high frontier,the high frontier action  drama  thriller father  two  teenage  sons  travel  small  mountain  cabin  male  bonding  adventure  lost  tourist  arrives  outing  turns  struggle  survival
2008,mammoth,mammoth drama  romance trip  thailand  successful  american  businessman  tries  radically  change  life  back  new  york  wife  daughter  find  relationship  live  filipino  maid  changing  around  time  philippines  family  struggles  deal  absence
2009,a trip to the moon,a trip to the moon adventure  fantasy  science fiction trip  moon  science  fiction  film  french  pioneer  georges  méliès  year  1902  first  self  contained  plot  beginning  genre
2010,the return of the war room,the return of the war room documentary played  prominent  roles  clinton  1992  presidential  campaign  return  discuss  politics  media  changed  since  time
2011,1 mile to you,1 mile to you drama  romance teenager  friends  die  accident  finds  running  allows  remember  perfectly  however  also  brings  notoriety  caught  keeping  past  alive  making  new  memories  present
2012,nicostratos the pelican,nicostratos the pelican comedy  drama wife  died  man  refuses  go  want  talk  son  life  meaning  one  day  finds  baby  pelican  decides  leave  bird  home  helps  boy  find  father  revive  back  ...
2013,all the mornings of the world,all the mornings of the world drama  romance  history late  17th  century  viola  da  gamba  player  monsieur  de  sainte  colombe  comes  home  find  wife  died  away  grief  builds  small  house  garden  wich  moves  dedicate  life  music  two  young  daughters  madeleine  toinette  avoiding  outside  world  rumor  widespread  even  reaches  court  louis  xiv  wants  lully  orchestra  refuses  one  day  man  marin  marais  see  request  taught  play  viol
2014,indian summer,indian summer comedy  drama group  childhood  friends  thirties  reunite  camp  tamakwa  original  campers  show  still  good  time  reminiscing  people  share  experiences  grow  dismayed  discover  owner  unca  lou  going  close
2015,crazy people,crazy people comedy  romance bitter  ad  executive  reached  breaking  point  finds  mental  institution  career  actually  begins  thrive  help  hospital  patients
2016,poolboy - drowning out the fury,poolboy - drowning out the fury comedy  action unearthed  lost  movie  1990  studio  deemed  terrible  release  vietnam  veteran  sal  bando  sorbo  )   tortured  past  poolboy  returns  home  van  nuys  california  country  recognize  seems  mexicans  run  pool  cleaning  companies  sets  brutal  mission  reclaim  rightful  vocation  enact  revenge  man  trejo  killed  wife  son
2017,bad guys always die,bad guys always die action  comedy young  chinese  man  friends  visit  jeju  island  south  korea  meet  mysterious  korean  woman
2018,foul play,foul play comedy  mystery  thriller shy  san  francisco  librarian  bumbling  cop  fall  love  solve  crime  involving  albinos  dwarves  catholic  church
2019,something of value,something of value drama kenya  mau  uprising  tears  country  apart  former  childhood  friends  kimani  sidney  poitier  )   native  peter  rock  hudson  british  colonist  find  opposite  sides  struggle  provocative  drama  though  devoted  cause  wish  moderate  path  --  hopes  peaceful  resolution  thwarted  rage  colonial  arrogance  escalating  violence
2020,cop and ½,cop and ½ action  comedy  family pint  sized  8  year  old  kid  witnesses  murder  offers  help  police  make  cop  saddled  streetwise  sidekick  hardboiled  forced  take  new  partner  seriously  race  clock  bring  bad  guys  justice
2021,fairytale: a true story,fairytale: a true story fantasy  drama  mystery  family two  children  1917  take  photograph  believed  first  scientific  evidence  existence  fairies  based  true  story
2022,trevor moore: high in church,trevor moore: high in church comedy trevor  moore  recorded  first  solo  one  hour  special  high  church  gramercy  theatre  new  york  accompanied  live  band  dancing  girls  music  videos  performs  brand  sketches  songs  spanning  musical  genres
2023,within our gates,within our gates drama  romance abandoned  fiancé  educated  negro  woman  shocking  past  dedicates  helping  near  bankrupt  school  impoverished  youths
2024,the lost man,"the lost man drama gang  black  militants  plots  rob  factory  finance  revolutionary  struggle  ."""
2025,l: change the world,"l: change the world fantasy  action  thriller  science fiction  mystery human  whose  name  written  death  note  shall  die  .""  making  hardest  decision  ever  another  serious  case  confronts  l  23  days  left  without  best  partner  watari  shunji  fujimura  )   solve  first  time"
2026,the good heart,the good heart drama  comedy  romance brian  cox  stars  jacques  curmudgeonly  owner  gritty  new  york  dive  bar  serves  home  motley  assortment  professional  drinkers  determinedly  drinking  smoking  death  meets  lucas  dano  )   homeless  young  man  already  given  life  determined  keep  legacy  alive  deems  fitting  heir  takes  wing  schooling  male  centric  laws  alcoholic  clubhouse  customers  fraternizing  absolutely  women  quick  study  friendship  put  test  distraught  beautiful  april  isild  le  besco  shows  seeking  shelter  insists  help
2027,valentine,valentine horror  thriller five  friends  stalked  murdered  masked  assailant  preparing  valentine  day
2028,heavenly shift,heavenly shift comedy  drama death  select  man  set  budapest  heavenly  shift  offers  eerie  insight  everyday  lives  rather  extraordinary  ambulance  crew  films  main  character  milan  young  refugee  balkan  war  joins  team  paramedics  inadvertently  ends  involved  funeral  business  order  finance  fiancee  rescue  hostilities
2029,bitter harvest,bitter harvest war  drama  history  romance set  two  world  wars  based  true  historical  events  bitter  harvest  conveys  untold  story  holodomor  genocidal  famine  engineered  tyrant  joseph  stalin  film  displays  powerful  tale  love  honour  rebellion  survival  time  ukraine  forced  adjust  horrifying  territorial  ambitions  burgeoning  soviet  union
2030,cut-throats nine,cut-throats nine crime  thriller  western wagon  load  convicts  way  prison  escorted  mountains  cavalry  troop  attacked  bandit  gang  sergeant  beautiful  young  daughter  assortment  seven  sadistic  murderous  prisoners  survive  left  without  horses  must  find  get  destination  protecting  watching  still  pursuing  bandits  trying  determine  one  man  raped  murdered  wife
2031,the sword of doom,the sword of doom action  drama unconscionable  actions  others  sociopath  samurai  builds  trail  vendettas  follow  closely
2032,vettaiyaadu vilaiyaadu,vettaiyaadu vilaiyaadu action  thriller raghavan  kamal  haasan  honest  cop  tamil  nadu  wife  kayalvizhi  kamalinee  mukerji  dies  violent  incident  deputized  investigate  murder  rani  daughter  colleague  arokiya  raj  prakash  remote  village  moves  new  york
2033,the brute,the brute drama  romance tough  young  man  helps  kick  poor  people  houses  falls  love  girl  lives  father  building  demolished
2034,ring of bright water,ring of bright water drama  family  foreign whoever  said  dog  man  best  friend  never  met  mij  cute  cuddly  pet  shop  otter  captures  heart  graham  merill  bill  travers  ).  take  long  realize  london  place  raise  slippery  takes  live  ramshackle  cottage  coast  scotland  together  set  explore  curious  magnificent  natural  wonders  surround  seaside  home  --  orphaned  geese  tooth  less  sharks  spends  days  frolicking  icy  cold  sea  finds  falling  love  beautiful  town  doctor  mary  virginia  mckenna  three  become  inseparable  friends
2035,four winds of heaven,four winds of heaven drama  war по  вызову  своего  жениха  светлана  поехала  в  захолустный  городок  где  на  самой  окраине  стоял  двухэтажный  дом  «  семи  ветрах  ».  но  началась  война  игорь  не  встретил  светлану  а  она  решила  остаться  ждать  его  и  конца  войны  вскоре  городка  разместилась  редакция  фронтовой  газеты  когда  немцы  подошли  к  городу  превратился  госпиталь  стала  бойцом
2036,a charlie brown christmas,a charlie brown christmas animation  family  comedy  tv movie charlie  brown  complains  overwhelming  materialism  sees  amongst  everyone  christmas  season  lucy  suggests  become  director  school  pageant  accepts  frustrating  struggle  attempt  restore  proper  spirit  forlorn  little  fir  tree  fails  needs  linus  help  learn  meaning
2037,judgement day,judgement day  insects  tortured  various  ways  amidst  sounds  screaming
2038,ruggles of red gap,ruggles of red gap comedy  romance comedy  englishman  stranded  sea  barbaric  americans  marmaduke  ruggles  charles  laughton  )   gentleman  butler  earl  lost  poker  game  uncouth  american  cattle  baron  life  turned  upside  taken  usa  gradually  assimilated  accidently  becomes  local  celebrity  falls  love  along  way
2039,the russia house,the russia house drama  action  thriller  romance expatriate  british  publisher  unexpectedly  finds  working  intelligence  investigate  people  russia
2040,sweet alibis,sweet alibis comedy  thriller  crime  action chi  yi  veteran  cop  values  safety  anything  else  therefore  infamous  cowardice  poor  efficiency  work  ping  hand  graduated  police  academy  ready  prove  regardless  risks  daughter  head  national  policy  agency  secretly  kept  away  danger  appointed  team  starting  seemingly  pointless  case  puppy  ’  accidental  death  eating  chocolate  essentially  incompatible  pair  unexpectedly  digs  clues  series  mysterious  deaths  rom  com  fully  fledged  fantasy  sure  blow  mind
2041,"if footmen tire you, what will horses do?","if footmen tire you, what will horses do?  based  preachings  reverend  estus  w  pirkle  film  warns  happen  america  citizens  give  depraved  ways  turn  god  jesus  salvation  communist  infiltrators  footmen  ""   pave  way  invasion  weakening  tv  dance  rock  music  alcohol  begins  new  government  proceed  round  christians  either  execute  force  undergo  education  putting  faith  bible  belongs  says  rev  resist  coming  red  menace"
2042,a family,a family drama ditte  owns  gallery  loving  boyfriend  dream  job  new  york  within  reach  also  youngest  generation  famous  bakery  dynasty  rheinwald  beloved  dominating  father  comes  serious  illness  faced  grueling  decision  pursue  dreams  continue  legacy  family
2043,children of invention,children of invention comedy  drama  romance two  young  children  living  illegally  model  apartment  outside  boston  left  fend  hardworking  mother  disappears
2044,the matthew shepard story,the matthew shepard story drama senseless  act  hatred  openly  gay  college  student  matthew  shepard  murdered  1998  critically  acclaimed  moving  film  recounts  final  days  killers  trial  —  weeks  leading  death  unnerving  detail  stockard  channing  delivers  unforgettable  emmy  ®  award  winning  performance  grieving  mother  judy  story  murder  moved  nation  action  also  starring  law  amp  order  sam  waterston
2045,trancers,trancers horror  science fiction  crime angel  city  trooper  jack  deth  sent  back  time  2247  1985  l  inhabit  body  ancestor  assignment  find  archenemy  whistler  turns  people  zombies  fiend  able  kill  ancestors  future  governing  council
2046,sailor beware,sailor beware comedy meeting  navy  recruiting  line  al  crowthers  dean  martin  melvin  jones  jerry  lewis  become  friends  tried  enlist  always  rejected  keeps  trying  impress  women  allergic  cosmetics  doctor  prescribed  ocean  travel  decided  join
2047,it might get loud,it might get loud documentary  music documentary  electric  guitar  point  view  three  significant  rock  musicians  edge  jimmy  page  jack  white
2048,adventures of captain wrongel,adventures of captain wrongel animation  comedy  adventure  action adventures  captain  vrungel  1981  soviet  musical  adventure  animation  film  david  cherkassky  kievnauchfilm  loosely  based  novel  name  andrey  nekrasov  cartoon  production  divided  13  episodes  1  3  filmed  1976  4  6  1977  7  9  1978  10  1979
2049,13b: fear has a new address,"13b: fear has a new address drama  mystery  horror  thriller manohar  upwardly  mobile  middle  class  indian  moves  new  apartment  13b  13th  floor  family  first  day  home  women  hooked  tv  show  sab  khairiyat  "".""  eerily  similar  also  moved  house  unfolds  incidents  happen  start  happening"
2050,lethal weapon 4,lethal weapon 4 action  adventure  comedy  crime  thriller combustible  action  franchise  final  installment  maverick  detectives  martin  riggs  roger  murtaugh  square  asian  mobster  wah  sing  ku  neck  slave  trading  counterfeit  currency  help  gumshoe  leo  getz  smart  aleck  rookie  cop  lee  butters  aim  take  gang
2051,hounded,hounded drama deals  obsessive  relationship  confused  teenager  elder  woman  elsa  seifert  successfully  works  probation  officer  longtime  companion  trouble  since  common  daughter  moved  gets  know  jan  16  years  old  offender  frankly  offers  submit  sexually  although  shocked  beginning  attracted  young  man
2052,morning light,morning light documentary fifteen  young  sailors  ...  six  months  intense  training  one  chance  brass  ring  documentary  tells  story  group  intrepid  determined  men  women  cusp  adulthood  embark  life  first  great  adventure  racing  high  performance  52  foot  sloop  crew  morning  light  matches  wits  skills  dramatic  2300  mile  showdown
2053,the magnificent yankee,the magnificent yankee drama director  john  sturges  1950  film  biography  oliver  wendell  holmes  stars  louis  calhern  ann  harding  richard  anderson
2054,kareem: minority of one,kareem: minority of one documentary documentary  charts  complexity  genius  nba  time  leading  scorer  kareem  abdul  jabbar  legendary  career  court  spotlighting  six  mvp  world  champion  film  examines  controversial  landmark  moments  outspoken  feelings  race  politics  evolution  game
2055,a rage in harlem,a rage in harlem crime  comedy beautiful  black  gangster  moll  flees  harlem  trunkload  gold  shootout  unaware  rest  gang  unsavoury  characters  trail  pudgy  momma  boy  becomes  object  affections  unlikely  hero  tale
2056,geri's game,geri's game animation  family aging  codger  named  geri  plays  daylong  game  chess  park  somehow  begins  losing  livelier  opponent  nearly  manages  turn  tables
2057,starring maja,starring maja comedy  drama overweight  teenager  girl  struggles  socially  accepted
2058,special forces,special forces action  drama  war afghanistan  war  correspondent  elsa  casanova  taken  hostage  taliban  faced  imminent  execution  special  forces  unit  dispatched  free  world  ’  breathtaking  yet  hostile  landscapes  relentless  pursuit  begins  kidnappers  intention  letting  prey  escape  group  soldiers  risk  lives  single  aim  –  bring  home  alive  strong  independent  woman  men  duty  thrown  together  forced  confront  situations  great  danger  inextricably  bind  emotionally  violently  intimately
2059,dirch passer vælter byen,dirch passer vælter byen  dirch  passer  detective  lady  friend  swedish  danish  comedy  movie
2060,a thousand clowns,a thousand clowns comedy  drama  romance twelve  year  old  nick  lives  uncle  murray  mr  micawber  like  dickensian  character  keeps  hoping  something  turn  turns  social  worker  falls  love  bit  child  welfare  people  try  force  become  conventional  man  price  demand  allowing  keep  )   nephew  gloried  iconoclastic  approach  life  tries  play  mediator  succeeds  alarmed  willingness  cave  society  order  save  relationship
2061,broadway thru a keyhole,broadway thru a keyhole romance  music  drama racketeer  frank  rocci  smitten  joan  whelan  dancer  texas  guinan  famous  broadway  night  spot  uses  influence  help  get  starring  role  show  hoping  also  fall  love  scoring  hit  accepts  marriage  proposal  gratitude  situation  gets  even  stickier  falls  handsome  band  leader  trip  florida  tell  someone  else
2062,the soldier,the soldier action terrorists  take  plutonium  bomb  threaten  detonate  saudi  arabian  oil  field  special  anti  terrorist  unit  sent  stop
2063,the ghoul,the ghoul romance  drama  horror  action  mystery british  egyptologist  professor  morlant  finds  magic  jewel  tomb  oriental  idol  talisman  supposed  grant  immortality  buried  arranges  put  grave  upon  demise  woe  might  double  cross  spirit  arise  wreak  vengeance  betrayers  ...
2064,styx,styx action  crime  thriller nelson  puts  criminal  ways  behind  spent  years  first  rate  safecracker  resolution  lasts  brother  finds  owing  money  organised  crime  needs  one  last  big  job  professionals
2065,"petrovka street, number 38","petrovka street, number 38 crime  mystery detective  kostenko  trying  find  group  criminals  responsible  killing  policeman"
2066,saving private ryan,saving private ryan drama  history  war u  troops  storm  beaches  normandy  three  brothers  lie  dead  battlefield  fourth  trapped  behind  enemy  lines  ranger  captain  john  miller  seven  men  tasked  penetrating  german  held  territory  bringing  boy  home
2067,autumn leaves,autumn leaves drama woman  falls  younger  man  severe  mental  problems
2068,ella cinders,ella cinders romance  comedy poor  ella  cinders  much  abused  evil  step  mother  sisters  wins  local  beauty  contest  jumps  chance  get  dead  end  life  go  hollywood  promised  job  movies  arrives  discovers  scam  non  existent  pluck  luck  talent  makes  anyway  finds  true  love
2069,"monster high: boo york, boo york","monster high: boo york, boo york animation  family ghouls  taking  bite  boo  york  de  niles  hoping  meet  dynastic  destiny  carve  new  empire  catty  noir  trying  find  music  together  storm"
2070,men don't leave,men don't leave drama husband  john  dies  unexpectedly  beth  macauley  unprepared  life  without  unemployed  job  skills  60  000  debt  going  renovations  house  located  suburban  bingham  know  sell  material  possessions  family  pick  truck  move  apartment  city  namely  baltimore  wants  survive  finding  dislike  keep  together  trying  maintain  sanity  sense  self  worth
2071,if tomorrow comes,if tomorrow comes crime  drama  mystery mini  series  focuses  two  people  tracy  whitney  jeff  stevens  beginning  innocent  love  pregnant  son  affluent  family  obviously  approve  would  sent  ot  prison  crime  commit  eventually  got  released  set  get  back  framed  try  rebuild  life  record  always  hindrance  offered  job  stealing  jewelry  con  man  thought  found  true  learned  wife  feel  decided  friends  divorce  paths  cross  contracted  meets  policemen  one  apparently  boss  tried  double  manages  outwit
2072,wilbur wants to kill himself,wilbur wants to kill himself comedy  drama  romance strange  comedy  film  two  close  brothers  one  wilbur  wants  kill  harbour  tries  prevent  father  dies  leaving  bookstore  meet  woman  makes  lives  bit  better  yet  trouble  well
2073,better living through circuitry,better living through circuitry documentary  music documentary  electronic  dance  movement  90  first  full  length  film  topic  produced  cleopatra  pictures  entertainment  group  presided  records  founder  brian  perera  features  interviews  bt  crystal  method  electric  skychurch  genesis  p  orridge  frankie  bones  dj  spooky  roni  size  keoki
2074,salla - selling the silence,salla - selling the silence  selling  silence  creative  documentary  film  witnesses  rise  fall  one  family  entrepreneurs  kuukkanen  salla  lapland  side  current  changes  values  society  combining  private  personal  memories  ongoing  scenery  asks  avoid  irreversible  nature  earning  living  journey  north  past  present  sometimes  surprising  sad  absurd  black  finnish  way  ”  price  wilderness  ?”   also  question  identity  really  real
2075,the winter guest,the winter guest drama plot  story  interactions  two  young  boys  teenagers  mother  grandmother  elderly  women  said  though  main  actor  film  frozen  sea  rest  stories  surreal  background
2076,wishin' and hopin',wishin' and hopin' drama  comedy based  new  york  times  best  selling  novel  award  winning  author  wally  lamb  vivid  slice  1960s  life  wishin  hopin  wise  witty  holiday  tale  celebrates  far  come  small  town  three  rivers  connecticut  go  straight  halls  st  aloysius  gonzaga  parochial  school  felix  funicello  catholic  fifth  grader  1964  whose  claim  fame  cousin  annette  famous  mouseketeer  teen  movie  queen  grammar  arithmetic  move  back  burner  season  sudden  arrivals  substitute  teacher  madame  frechette  feisty  russian  student  zhenya  kabakova  learns  meaning  french  kissing  cultural  misunderstanding  tableaux  vivants  barrels  toward  one  outrageous  christmas
2077,severance,severance horror  comedy  thriller members  danny  dyer  laura  harris  tim  mcinnerny  palisades  defense  corp  sales  group  arrive  europe  team  building  exercise  fallen  tree  blocks  route  must  hike  destination  however  psychotic  killer  lurks  woods  horrible  fate  mind  co  workers
2078,age of the dragons,age of the dragons adventure  action  fantasy age  dragons  adaptation  herman  melville  classic  novel  moby  dick  set  medieval  realm  captain  ahab  crew  hunt  vitriol  powers  world  ishmael  charismatic  harpooner  friend  queequeg  join  quest  adopted  daughter  rachel  beautiful  tough  runs  hunting  vessel  obsession  seek  revenge  great  white  dragon  slaughtered  family  young  left  body  scarred  mauled  drives  deeper  heart  darkness  lair  secrets  revealed  must  choose  following  dark  escaping  new  life
2079,hurricane bianca,hurricane bianca comedy hurricane  bianca  revenge  comedy  new  york  teacher  moves  small  town  texas  gets  fired  gay  returns  disguised  drag  get  people  nasty
2080,wings of hope,wings of hope documentary werner  herzog  returns  south  american  jungle  juliane  koepcke  german  woman  sole  survivor  plane  crash  1971  find  remains  recreate  journey
2081,fantozzi to the rescue,fantozzi to the rescue comedy fantozzi  retired  continues  go  office  held  fine  example  employees  intending  career
2082,dr. dolittle 3,"dr. dolittle 3 comedy  family  fantasy lisa  dolittle  sends  daughter  durango  "" ""  dude  ranch  find  uses  talent  talk  animals  order  save  taken  neighboring"
2083,pablo escobar: king of cocaine,"pablo escobar: king of cocaine documentary incorporating  never  seen  archival  footage  home  movies  interviews  family  members  journalists  law  enforcement  officials  pablo  escobar  king  cocaine  tells  story  twisted  robin  hood  founded  medellin  cartel  smuggling  organization  became  first  billionaire  criminal  south  america  piece  part  learning  channel  series  legends   ""  hosted  bryant  gumbel"
2084,"oh, serafina!","oh, serafina! comedy  drama augusto  valle  successful  young  industrialist  weds  palmira  girl  working  factory  two  child  despite  infant  uncertain  legitimacy  scheming  control  husband  fortune  affairs  mayor  judge  committed  mental  institution  falls  love  serafina  vitali  woman  also  put  away"
2085,pillars of society,pillars of society drama man  comes  back  america  years  find  reputation  ruined
2086,water and power,water and power documentary pat  neill  one  interesting  filmmakers  america  today  offers  dazzling  reflection  conflict  nature  man  los  angeles  desertification  city  surroundings  due  enormous  water  consumption  interestingly  also  film  age  old  tradition  symphonies  la  foundation  myths  dreams  embodies  history  grim  future  topography  ethnography  uses  footage  several  classic  films  recreate  layers  meaning  emanating  juxtaposing  images  fantasies  hardly  ever  allowing  picture  go  untouched  george  lockwood  swarming  soundtrack  likewise  composed  conflicting  languages  elaborate  work  plunderphonics  snippets  sound  stolen  movies  collide  electronic  soundscapes  contemporary  chamber  music  improv
2087,poseidon rex,poseidon rex action  science fiction jackson  slate  famous  treasure  hunter  find  legendary  lost  gold  cortez  open  waters  secluded  island  caribbean  sea  using  dynamite  blast  way  centuries  silt  new  chasms  created  reaching  miles  ancient  ocean  floor  evil  released  quickly  savagely  without  warning  destroys  boat  kills  crew  sole  survivor  carnage  teams  marine  biologist  sarah  venture  back  site  investigate  horrific  events  extract  egg  darkest  depths  take  lab  hatches  realise  awaken  deadly  prehistoric  monster  p  rex  stop  nothing  entire  destroyed  ...
2088,dumb and dumberer: when harry met lloyd,dumb and dumberer: when harry met lloyd comedy wacky  prequel  1994  blockbuster  goes  back  lame  brained  harry  lloyd  days  classmates  rhode  island  high  school  unprincipled  principal  puts  pair  remedial  courses  part  scheme  fleece
